run,points,gamma,seed,labelled_fraction,val_miou,test_miou,test_iou_building,test_f1_building,test_oa,minutes
dense_ce,0,0.000000,0,1.000000,0.728483,0.739131,0.590163,0.742268,0.903628,27.185311
points1_ce,1,0.000000,0,0.000031,0.614460,0.622542,0.458102,0.628354,0.819487,27.613063
points5_ce,5,0.000000,0,0.000153,0.673269,0.681946,0.534003,0.696222,0.857639,27.106768
points5_ce_seed1,5,0.000000,1,0.000153,0.654876,0.656793,0.500725,0.667311,0.842434,27.458065
points5_ce_seed2,5,0.000000,2,0.000153,0.680036,0.683240,0.527789,0.690919,0.863331,27.302805
points20_ce,20,0.000000,0,0.000610,0.676053,0.685247,0.537664,0.699325,0.860040,27.179815
points100_ce,100,0.000000,0,0.003052,0.691313,0.702846,0.560609,0.718449,0.870650,27.206570
points1_focal2,1,2.000000,0,0.000031,0.615381,0.624794,0.461426,0.631473,0.820703,27.260821
points5_focal2,5,2.000000,0,0.000153,0.661917,0.670511,0.521921,0.685871,0.848934,27.380823
points20_focal2,20,2.000000,0,0.000610,0.681004,0.687738,0.539510,0.700885,0.862408,27.498665
